epoch	dice_coef	loss	val_dice_coef	val_loss
8	0.34444234768549603	0.35902670593488784	0.24233102372714452	0.6848131588527134
9	0.33944032305762883	0.25321337793554577	0.2927979826927185	0.6858205199241638
10	0.37994023344733496	0.2953629913655194	0.38054815786225454	0.6877462778772626
11	0.36542989171686624	0.30017747623579843	0.24212814228875296	0.6828562191554478
12	0.29276823265744106	0.26464693744977313	0.2924860268831253	0.6842396855354309
13	0.4039374362854731	0.2790653379190536	0.3800889083317348	0.6866536055292402
0	0.22493454100497598	0.553493877251943	0.294002003967762	0.6920551061630249
1	0.31076978147029877	0.43347610462279546	0.3821825853415898	0.6917241726602826
2	0.33465356060436796	0.35740414403733756	0.2428165078163147	0.6895713039806911
3	0.30736512216654693	0.3422544246370142	0.2935009226202965	0.6894311308860779
4	0.29269135033800486	0.31205819901965914	0.38151209694998606	0.6900735667773655
5	0.3158823744881721	0.3180675109227498	0.24254148772784642	0.6868616087096078
6	0.3715627505665734	0.31886658923966543	0.2931148335337639	0.6874372363090515
7	0.33398255581657094	0.31295154704934075	0.38099140780312674	0.6888067041124616
8	0.34115654655865263	0.33132564099062056	0.24231891546930587	0.6847015874726432
9	0.34084478989243505	0.27545840814709666	0.2927793338894844	0.6857136487960815
0	0.24597805028869993	0.5524565520740691	0.2939949557185173	0.6920221149921417
1	0.2586925533555803	0.4374677311806452	0.3821609318256378	0.6916772382599967
2	0.31645483559086207	0.38495546721276785	0.24281511987958634	0.6895602004868644
3	0.2996469952843406	0.3186219172044234	0.29350830614566803	0.6894627213478088
4	0.38522834293544295	0.3400192022323608	0.3815451221806662	0.6901468123708453
0	0.24283396168833687	0.5521184745289031	0.2939949557185173	0.6920221149921417
1	0.30155031595911297	0.44014609995342435	0.3821654830660139	0.6916805931500026
2	0.31744679240953355	0.39302838700158255	0.24280159388269698	0.6894128322601318
3	0.28760486167101634	0.3305786365554446	0.2934765890240669	0.6893002986907959
4	0.36566175733293804	0.37512129687127616	0.3815024367400578	0.6900395665849958
0	0.22899289571103595	0.5480090975761414	0.2940029203891754	0.6920668482780457
1	0.2558989565480839	0.4281319867480885	0.3821745344570705	0.6917032854897636
2	0.3157321356591724	0.3666292400587173	0.24280557462147304	0.6894509877477374
3	0.3367053732275963	0.33268799632787704	0.2934943288564682	0.6894097328186035
4	0.3666620964095706	0.36452224424907137	0.38154661655426025	0.6901540671076093
0	0.2648589305934452	0.5629386249042693	0.29399754106998444	0.6920344829559326
1	0.27852382688295274	0.43290645593688604	0.3821492833750589	0.6916338290487017
2	0.30538444291977657	0.35264812055088224	0.2427977749279567	0.6893835152898516
3	0.34172211764823823	0.34886730852581205	0.29348427057266235	0.6893532276153564
4	0.35609138153848197	0.3287253720419748	0.3815064770834787	0.6900538461548942
